YM_ID|POLICE_AREA|GRP_DETAIL_CD|DRIVE_OVER|VIOLATION|SPEEDING|PEDESTRIAN|SAFEDRIVING|SAFETY|CROSSING|ETC|ETL_TYPE|ETL_DATE
201212|P05|9401|6|6|0|4|48|3|2|3|0601|2013-12-23 16:58:12
201212|P05|9403|11|9|0|5|70|4|4|3|0601|2013-12-23 16:58:12
201212|P06|9402|1|0|1|0|2|0|0|0|0601|2013-12-23 16:58:12
201301|P02|9401|4|12|0|1|50|4|6|4|0601|2013-12-23 16:58:12
201301|P02|9403|9|20|0|1|68|16|8|8|0601|2013-12-23 16:58:12
201301|P03|9402|0|0|0|0|1|0|0|0|0601|2013-12-23 16:58:12
201301|P04|9401|2|7|0|3|38|1|2|6|0601|2013-12-23 16:58:12
201301|P04|9403|2|13|0|3|57|1|2|8|0601|2013-12-23 16:58:12
201301|P05|9402|0|1|0|0|1|0|0|0|0601|2013-12-23 16:58:12
201301|P06|9401|8|18|1|5|80|9|2|9|0601|2013-12-23 16:58:12
201301|P06|9403|25|38|1|6|124|12|3|13|0601|2013-12-23 16:58:12
201302|P02|9402|0|0|0|0|1|0|0|0|0601|2013-12-23 16:58:12
201302|P03|9401|3|5|0|1|33|2|5|8|0601|2013-12-23 16:58:12
201302|P03|9403|6|5|0|1|49|3|9|11|0601|2013-12-23 16:58:12
201302|P04|9402|1|0|0|0|1|0|0|0|0601|2013-12-23 16:58:12
201302|P05|9401|1|5|0|5|27|0|3|2|0601|2013-12-23 16:58:12
201302|P05|9403|1|6|0|5|45|0|3|6|0601|2013-12-23 16:58:12
201302|P06|9402|0|0|0|0|3|0|1|0|0601|2013-12-23 16:58:12
201303|P02|9401|6|16|0|5|40|5|3|7|0601|2013-12-23 16:58:12
201303|P02|9403|10|20|0|5|61|12|5|9|0601|2013-12-23 16:58:12
201303|P03|9402|0|0|0|0|0|0|0|0|0601|2013-12-23 16:58:12
201303|P04|9401|6|7|0|2|35|2|4|6|0601|2013-12-23 16:58:12
201303|P04|9403|13|10|0|2|50|4|7|11|0601|2013-12-23 16:58:12
201303|P05|9402|0|0|0|0|2|0|0|0|0601|2013-12-23 16:58:12
201303|P06|9401|8|28|0|5|101|6|6|16|0601|2013-12-23 16:58:12
201303|P06|9403|11|44|0|6|145|12|8|28|0601|2013-12-23 16:58:12
201304|P02|9401|3|11|0|3|40|3|3|5|0601|2014-08-01 17:04:41
201304|P02|9403|6|22|0|3|72|4|3|5|0601|2014-08-01 17:04:41
201304|P03|9402|0|1|0|0|2|0|0|0|0601|2014-08-01 17:04:41
201304|P04|9401|1|9|0|0|37|6|5|4|0601|2014-08-01 17:04:41
201304|P04|9403|1|13|0|0|57|9|6|4|0601|2014-08-01 17:04:41
201304|P05|9402|0|0|0|0|0|0|0|0|0601|2014-08-01 17:04:41
201304|P06|9401|10|20|0|13|108|11|3|6|0601|2014-08-01 17:04:41
201304|P06|9403|15|38|0|13|160|31|3|7|0601|2014-08-01 17:04:41
