sido_code,sigungu_code,emd_code,week_type,velocity_CG_AVRG
11000,11190,1119063,weekday,18.56
11000,11190,1119065,weekday,14.43
11000,11190,1119066,weekday,15.32
11000,11190,1119067,weekday,15.72
11000,11190,1119068,weekday,15.49
11000,11190,1119069,weekday,15.95
11000,11190,1119070,weekday,13.95
11000,11190,1119071,weekday,14.33
11000,11190,1119072,weekday,15.81
11000,11190,1119073,weekday,16.46
11000,11190,1119074,weekday,16.81
11000,11190,1119075,weekday,15.89
11000,11190,1119076,weekday,17.21
11000,11200,1120052,weekday,21.24
11000,11200,1120053,weekday,15.12
11000,11200,1120054,weekday,15.69
11000,11200,1120055,weekday,7.4
11000,11200,1120056,weekday,14.9
11000,11200,1120063,weekday,13.1
11000,11200,1120065,weekday,15.58
11000,11200,1120066,weekday,14.96
11000,11200,1120067,weekday,19.7
11000,11200,1120068,weekday,17.32
11000,11200,1120069,weekday,15.55
11000,11200,1120070,weekday,16.54
11000,11200,1120071,weekday,15.36
11000,11200,1120072,weekday,19.86
11000,11200,1120073,weekday,20.06
11000,11210,1121052,weekday,14.73
11000,11210,1121054,weekday,15.99
11000,11210,1121057,weekday,14.54
11000,11210,1121058,weekday,17.79
11000,11210,1121061,weekday,12.44
11000,11210,1121062,weekday,14.95
11000,11210,1121063,weekday,19.54
11000,11210,1121064,weekday,13.28
11000,11210,1121065,weekday,15.78
11000,11210,1121066,weekday,17.53
11000,11210,1121068,weekday,14.59
11000,11210,1121069,weekday,14.5
11000,11210,1121071,weekday,16.37
11000,11210,1121072,weekday,15.23
11000,11210,1121073,weekday,20.8
11000,11210,1121078,weekday,14.37
11000,11210,1121079,weekday,15.65
11000,11210,1121080,weekday,14.32
11000,11210,1121081,weekday,15.9
11000,11210,1121082,weekday,17.55
11000,11210,1121083,weekday,14.78
11000,11220,1122051,weekday,16.56
11000,11220,1122052,weekday,15.51
11000,11220,1122053,weekday,15.65
11000,11220,1122054,weekday,16.23
11000,11220,1122055,weekday,20.14
11000,11220,1122056,weekday,20.52
11000,11220,1122057,weekday,16.03
11000,11220,1122058,weekday,18.34
11000,11220,1122059,weekday,18.83
11000,11220,1122060,weekday,13.91
11000,11220,1122061,weekday,14.64
11000,11220,1122062,weekday,15.57
11000,11220,1122063,weekday,17.98
11000,11220,1122064,weekday,14.74
11000,11220,1122065,weekday,14.3
11000,11220,1122066,weekday,21.37
11000,11220,1122067,weekday,22.53
11000,11220,1122068,weekday,21.47
11000,11230,1123051,weekday,18.69
11000,11230,1123052,weekday,13.23
11000,11230,1123053,weekday,13.57
11000,11230,1123058,weekday,19.42
11000,11230,1123059,weekday,15.56
11000,11230,1123060,weekday,14.18
11000,11230,1123063,weekday,13.11
11000,11230,1123064,weekday,12.65
11000,11230,1123065,weekday,14.28
11000,11230,1123066,weekday,13.63
11000,11230,1123067,weekday,15.71
11000,11230,1123068,weekday,18.52
11000,11230,1123071,weekday,16.55
11000,11230,1123072,weekday,17.3
11000,11230,1123073,weekday,20.48
11000,11230,1123074,weekday,22.7
11000,11230,1123075,weekday,21.86
11000,11230,1123076,weekday,19.16
11000,11230,1123077,weekday,17.91
11000,11230,1123078,weekday,17.6
11000,11230,1123079,weekday,16.13
11000,11230,1123080,weekday,18.86
11000,11240,1124051,weekday,26.56
11000,11240,1124052,weekday,21.65
11000,11240,1124053,weekday,18.47
11000,11240,1124054,weekday,15.95
11000,11240,1124055,weekday,18.21
11000,11240,1124056,weekday,17.24
11000,11240,1124057,weekday,15.39
11000,11240,1124058,weekday,15.09
11000,11240,1124059,weekday,13.44
11000,11240,1124060,weekday,15.41
11000,11240,1124061,weekday,15.8
11000,11240,1124062,weekday,16.94
11000,11240,1124063,weekday,17.97
11000,11240,1124064,weekday,15.53
11000,11240,1124065,weekday,16.24
11000,11240,1124066,weekday,16.42
11000,11240,1124067,weekday,15.61
11000,11240,1124068,weekday,14.36
11000,11240,1124069,weekday,18.85
11000,11240,1124071,weekday,16.59
11000,11240,1124075,weekday,15.82
11000,11240,1124077,weekday,22.73
11000,11240,1124078,weekday,16.16
11000,11240,1124079,weekday,23.65
11000,11240,1124080,weekday,19.41
11000,11240,1124081,weekday,19.38
11000,11240,1124082,weekday,18.42
11000,11250,1125051,weekday,24.08
11000,11250,1125052,weekday,17.24
11000,11250,1125053,weekday,15.11
11000,11250,1125054,weekday,15.7
11000,11250,1125055,weekday,17.91
11000,11250,1125056,weekday,21.26
11000,11250,1125058,weekday,29.76
11000,11250,1125059,weekday,21.89
11000,11250,1125061,weekday,13.56
11000,11250,1125063,weekday,17.28
11000,11250,1125065,weekday,15.47
11000,11250,1125066,weekday,19.32
11000,11250,1125067,weekday,15.27
11000,11250,1125070,weekday,14.57
11000,11250,1125071,weekday,16.37
11000,11250,1125072,weekday,15.6
11000,11250,1125073,weekday,21.15
11000,11250,1125074,weekday,17.09
21000,21010,2101051,weekday,17.8
21000,21010,2101052,weekday,19.63
21000,21010,2101053,weekday,17.22
21000,21010,2101054,weekday,15.4
21000,21010,2101056,weekday,15.12
21000,21010,2101057,weekday,14.93
21000,21010,2101058,weekday,21.1
21000,21010,2101059,weekday,18.29
21000,21010,2101060,weekday,21.64
21000,21020,2102051,weekday,17.68
21000,21020,2102052,weekday,15.14
21000,21020,2102053,weekday,18.09
21000,21020,2102054,weekday,18.7
21000,21020,2102056,weekday,21.09
21000,21020,2102057,weekday,19.24
21000,21020,2102059,weekday,19.94
21000,21020,2102061,weekday,20.84
21000,21020,2102063,weekday,18.77
21000,21020,2102064,weekday,18.01
21000,21020,2102065,weekday,20.64
21000,21020,2102068,weekday,19.8
21000,21020,2102069,weekday,19.64
21000,21030,2103051,weekday,18.36
21000,21030,2103052,weekday,18.95
21000,21030,2103053,weekday,17.43
21000,21030,2103055,weekday,22.22
21000,21030,2103056,weekday,20.48
21000,21030,2103057,weekday,19.89
21000,21030,2103060,weekday,21.53
